"team_a","team_b","gender","series","team_a_venue","toss_winner","toss_decision","first_innings_total","day_night","rain","duckworth_lewis","win_toss_win_game"
"India","New Zealand","M","medium","away","India","field",132,"0","0","0","won"
"West Indies","Australia","M","low","home","West Indies","bat",257,"0","0","0","won"
"Pakistan","Sri Lanka","M","low","home","Pakistan","field",274,"0","0","0","won"
"West Indies","Australia","M","low","home","Australia","bat",252,"0","1","1","lost"
"South Africa","West Indies","F","low","home","South Africa","field",90,"0","0","0","won"
"Bangladesh","Zimbabwe","M","low","home","Zimbabwe","bat",251,"1","0","0","lost"
"Australia","India","M","medium","home","Australia","bat",329,"1","0","0","won"
"Zimbabwe","England","M","low","home","England","field",195,"0","0","0","lost"
"Australia","New Zealand","F","medium","home","Australia","bat",248,"0","0","0","won"
"Pakistan","South Africa","F","high","away","Pakistan","bat",216,"0","0","0","won"
"South Africa","New Zealand","M","low","home","South Africa","field",243,"0","0","0","won"
"India","Sri Lanka","M","medium","home","India","field",204,"0","0","0","won"
"Australia","Zimbabwe","M","medium","home","Australia","field",166,"1","0","0","won"
"New Zealand","England","F","low","home","New Zealand","field",86,"1","0","0","won"
"Pakistan","Sri Lanka","F","low","away","Pakistan","field",207,"0","0","0","won"
"Australia","England","F","low","home","Australia","bat",241,"0","0","0","won"
"South Africa","Pakistan","M","low","home","Pakistan","field",272,"0","0","0","lost"
"Sri Lanka","South Africa","M","low","home","Sri Lanka","field",167,"0","0","0","won"
"Pakistan","Sri Lanka","M","low","away","Pakistan","field",243,"0","0","0","won"
"Bangladesh","India","M","medium","away","Bangladesh","bat",163,"0","0","0","won"
"Pakistan","Sri Lanka","M","low","home","Pakistan","field",241,"0","0","0","won"
"Pakistan","Zimbabwe","M","low","away","Pakistan","bat",151,"0","0","0","won"
"India","Sri Lanka","M","medium","away","Sri Lanka","bat",308,"1","0","0","lost"
"Australia","South Africa","M","medium","home","South Africa","field",283,"0","0","0","lost"
"Australia","New Zealand","F","medium","home","New Zealand","bat",179,"0","0","0","lost"
"New Zealand","Sri Lanka","F","high","away","New Zealand","field",58,"0","0","0","won"
"Pakistan","Zimbabwe","M","medium","away","Zimbabwe","bat",168,"1","0","0","lost"
"Australia","Pakistan","M","medium","home","Pakistan","bat",272,"0","1","1","lost"
"New Zealand","Australia","F","medium","home","New Zealand","bat",173,"0","0","0","won"
"Sri Lanka","Australia","M","low","home","Australia","bat",262,"1","0","0","lost"
"England","India","M","low","home","England","field",254,"0","0","0","won"
"Australia","South Africa","F","high","away","Australia","field",180,"0","0","0","won"
"England","Pakistan","M","medium","away","Pakistan","bat",323,"1","0","0","lost"
"India","Zimbabwe","M","low","away","Zimbabwe","field",245,"0","0","0","lost"
"Pakistan","West Indies","M","medium","away","Pakistan","bat",182,"0","0","0","won"
"Pakistan","South Africa","F","high","away","South Africa","bat",207,"0","0","0","lost"
"Australia","West Indies","M","medium","home","West Indies","bat",123,"1","0","0","lost"
"India","West Indies","M","low","home","West Indies","field",260,"0","0","0","lost"
"England","Australia","F","low","home","Australia","bat",161,"0","0","0","lost"
"Australia","New Zealand","F","high","away","New Zealand","bat",164,"0","0","0","lost"
"Sri Lanka","India","M","low","home","India","field",241,"0","0","0","lost"
"Bangladesh","South Africa","M","low","home","South Africa","bat",294,"1","0","0","lost"
"West Indies","Zimbabwe","M","medium","away","West Indies","bat",233,"1","0","0","won"
"South Africa","India","M","low","home","India","bat",184,"1","0","0","lost"
"India","Pakistan","M","medium","home","India","field",306,"1","0","0","won"
"South Africa","Pakistan","M","medium","home","Pakistan","bat",214,"0","0","0","lost"
"West Indies","India","F","low","home","India","bat",180,"0","0","0","lost"
"Sri Lanka","India","M","low","home","India","bat",227,"0","0","0","lost"
"India","Pakistan","M","medium","away","Pakistan","bat",279,"1","0","0","lost"
"England","South Africa","M","low","home","South Africa","field",223,"0","0","0","lost"
"West Indies","Zimbabwe","M","low","home","West Indies","bat",333,"0","0","0","won"
"New Zealand","India","M","low","home","India","bat",108,"1","0","0","lost"
"New Zealand","Sri Lanka","M","low","home","Sri Lanka","field",201,"1","0","0","lost"
"South Africa","Pakistan","M","low","home","Pakistan","bat",335,"1","0","0","lost"
"West Indies","Pakistan","M","low","home","West Indies","field",194,"0","0","0","won"
"England","Australia","F","low","home","England","bat",102,"0","0","0","won"
"Australia","England","M","medium","home","Australia","bat",252,"1","0","0","won"
"Sri Lanka","South Africa","M","low","home","Sri Lanka","bat",294,"1","0","0","won"
"India","Zimbabwe","M","high","home","Zimbabwe","field",247,"0","0","0","lost"
"India","England","F","high","home","England","field",63,"0","0","0","lost"
"England","Sri Lanka","M","high","home","Sri Lanka","field",251,"0","1","1","lost"
"Pakistan","India","M","medium","home","Pakistan","bat",205,"0","0","0","won"
"Australia","West Indies","M","medium","home","Australia","bat",281,"1","0","0","won"
"India","Sri Lanka","M","medium","away","India","field",205,"0","0","0","won"
"England","Sri Lanka","M","medium","home","England","field",257,"0","0","0","won"
"Bangladesh","Zimbabwe","M","high","away","Zimbabwe","field",231,"1","0","0","lost"
"Pakistan","West Indies","F","low","home","West Indies","field",142,"0","0","0","lost"
"England","New Zealand","F","high","away","New Zealand","bat",166,"0","0","0","lost"
"Australia","India","F","high","away","Australia","bat",193,"0","0","0","won"
"South Africa","Bangladesh","M","low","home","Bangladesh","bat",151,"1","0","0","lost"
"Sri Lanka","New Zealand","M","low","home","New Zealand","field",293,"0","0","0","lost"
"England","Pakistan","M","medium","away","Pakistan","field",194,"0","0","0","lost"
"New Zealand","West Indies","M","high","away","West Indies","field",158,"0","0","0","lost"
"New Zealand","England","F","low","home","New Zealand","bat",275,"0","0","0","won"
"India","South Africa","M","low","home","India","bat",185,"0","0","0","won"
"Pakistan","Sri Lanka","M","high","away","Sri Lanka","field",313,"0","0","0","lost"
"Sri Lanka","Bangladesh","M","low","home","Bangladesh","field",258,"0","0","0","lost"
"New Zealand","Pakistan","M","high","home","Pakistan","field",166,"0","0","0","lost"
"Pakistan","Sri Lanka","M","low","away","Pakistan","bat",176,"1","0","0","won"
"England","South Africa","F","low","home","England","bat",203,"0","0","0","won"
"South Africa","Sri Lanka","M","low","home","Sri Lanka","bat",247,"1","0","0","lost"
"India","Bangladesh","M","low","home","India","field",184,"1","0","0","won"
"South Africa","Pakistan","F","high","home","South Africa","field",123,"0","0","0","won"
"England","India","F","high","away","England","field",169,"0","0","0","won"
"India","West Indies","M","low","home","West Indies","bat",273,"0","0","0","lost"
"Pakistan","England","M","high","home","Pakistan","field",244,"0","0","0","won"
"India","South Africa","M","low","home","South Africa","bat",282,"0","0","0","lost"
"India","Pakistan","M","low","away","Pakistan","bat",116,"0","0","0","lost"
"India","Sri Lanka","M","medium","away","Sri Lanka","field",241,"0","0","0","lost"
"Sri Lanka","India","M","low","home","Sri Lanka","field",296,"0","1","1","won"
"South Africa","West Indies","M","low","home","West Indies","field",278,"0","0","0","lost"
"England","New Zealand","F","low","home","England","bat",111,"0","0","0","won"
"Pakistan","Sri Lanka","M","medium","away","Sri Lanka","bat",194,"0","0","0","lost"
"Sri Lanka","India","M","medium","home","India","bat",239,"0","0","0","lost"
"England","Australia","F","medium","home","Australia","bat",203,"0","0","0","lost"
"India","West Indies","M","high","away","West Indies","field",238,"0","0","0","lost"
"Australia","Pakistan","M","medium","home","Australia","bat",260,"1","0","0","won"
"India","New Zealand","F","low","home","India","bat",201,"0","0","0","won"
"Pakistan","Sri Lanka","M","low","away","Pakistan","bat",289,"1","0","0","won"
"England","South Africa","F","low","home","England","bat",159,"0","0","0","won"
"England","West Indies","M","medium","away","West Indies","field",217,"0","0","0","lost"
"Australia","New Zealand","M","medium","home","Australia","field",177,"1","0","0","won"
"Pakistan","Sri Lanka","M","high","away","Sri Lanka","field",235,"0","0","0","lost"
"India","Sri Lanka","M","medium","away","Sri Lanka","bat",202,"0","0","0","lost"
"Pakistan","West Indies","M","medium","away","Pakistan","bat",71,"0","0","0","won"
"Australia","India","M","medium","home","Australia","bat",359,"1","0","0","won"
"South Africa","India","M","low","home","South Africa","bat",282,"1","0","0","won"
"Pakistan","England","M","low","home","England","bat",206,"1","0","0","lost"
"West Indies","England","M","low","home","West Indies","bat",250,"0","0","0","won"
"Australia","South Africa","M","medium","home","Australia","bat",247,"1","0","0","won"
"India","West Indies","M","high","away","India","bat",197,"0","0","0","won"
"West Indies","England","M","high","home","England","field",300,"0","0","0","lost"
"Australia","New Zealand","F","medium","home","New Zealand","bat",160,"0","0","0","lost"
"Bangladesh","Pakistan","M","low","home","Pakistan","bat",202,"0","0","0","lost"
"Pakistan","South Africa","M","low","home","South Africa","bat",294,"1","0","0","lost"
"India","West Indies","M","high","away","West Indies","bat",282,"0","0","0","lost"
"Pakistan","India","M","medium","home","Pakistan","bat",329,"1","0","0","won"
"Sri Lanka","West Indies","F","low","home","Sri Lanka","bat",164,"0","0","0","won"
"Australia","South Africa","M","medium","home","South Africa","field",172,"1","0","0","lost"
"England","Australia","F","low","home","England","field",150,"0","0","0","won"
"West Indies","Australia","M","low","home","Australia","bat",242,"0","0","0","lost"
"New Zealand","Australia","M","low","home","New Zealand","bat",196,"0","0","0","won"
"England","Pakistan","M","low","home","Pakistan","field",81,"0","0","0","lost"
"India","Zimbabwe","M","low","home","India","field",149,"0","0","0","won"
"New Zealand","West Indies","M","low","home","West Indies","field",213,"0","0","0","lost"
"Australia","Sri Lanka","M","medium","away","Australia","bat",222,"0","0","0","won"
"Pakistan","New Zealand","M","low","home","Pakistan","bat",281,"1","0","0","won"
"England","West Indies","M","high","away","England","field",243,"0","0","0","won"
"Bangladesh","Sri Lanka","M","low","home","Bangladesh","field",147,"0","0","0","won"
"Pakistan","India","M","medium","home","India","bat",308,"1","0","0","lost"
"Pakistan","West Indies","M","medium","away","Pakistan","bat",174,"0","0","0","won"
"England","West Indies","M","low","home","West Indies","field",270,"0","0","0","lost"
"Pakistan","South Africa","M","low","home","Pakistan","bat",230,"1","0","0","won"
"Australia","West Indies","M","low","away","Australia","bat",272,"1","0","0","won"
"Pakistan","Sri Lanka","M","low","home","Sri Lanka","bat",309,"1","0","0","lost"
"India","New Zealand","F","low","home","India","bat",165,"0","0","0","won"
"Australia","England","M","medium","home","Australia","field",212,"0","0","0","won"
"India","West Indies","M","low","home","West Indies","field",290,"0","0","0","lost"
"England","Zimbabwe","M","medium","home","Zimbabwe","bat",114,"1","0","0","lost"
"South Africa","Australia","M","low","home","Australia","bat",290,"0","0","0","lost"
"England","South Africa","M","low","home","England","field",181,"0","0","0","won"
"South Africa","West Indies","M","high","home","West Indies","bat",278,"1","0","0","lost"
"Australia","Sri Lanka","M","medium","away","Sri Lanka","bat",154,"0","0","0","lost"
"India","England","M","low","home","England","bat",218,"0","0","0","lost"
"India","Australia","F","low","home","India","bat",165,"0","0","0","won"
"West Indies","New Zealand","M","low","home","West Indies","field",158,"0","0","0","won"
"India","New Zealand","F","low","home","India","field",174,"0","0","0","won"
"Australia","India","M","medium","home","Australia","bat",288,"1","0","0","won"
"India","England","F","low","home","India","field",194,"0","0","0","won"
"Australia","New Zealand","F","medium","home","Australia","field",117,"0","0","0","won"
"West Indies","India","M","low","home","India","bat",245,"0","0","0","lost"
"England","Zimbabwe","M","high","home","England","field",167,"0","0","0","won"
"India","New Zealand","F","low","home","New Zealand","bat",220,"0","0","0","lost"
"England","New Zealand","F","low","home","England","field",141,"0","1","1","won"
"New Zealand","Australia","F","high","home","Australia","bat",214,"0","0","0","lost"
"Australia","England","M","medium","home","England","bat",117,"1","0","0","lost"
"India","Pakistan","M","low","away","India","field",258,"0","0","0","won"
"Sri Lanka","New Zealand","M","low","home","Sri Lanka","field",156,"0","0","0","won"
"Sri Lanka","England","M","low","home","England","field",215,"0","0","0","lost"
"Australia","West Indies","M","low","away","Australia","bat",279,"1","0","0","won"
"Australia","India","F","high","away","Australia","bat",215,"0","0","0","won"
"Sri Lanka","India","F","medium","home","India","bat",189,"0","0","0","lost"
"Zimbabwe","West Indies","M","low","home","West Indies","field",232,"0","0","0","lost"
"Australia","West Indies","M","medium","home","West Indies","field",176,"1","0","0","lost"
"India","New Zealand","M","low","home","India","field",235,"0","0","0","won"
"New Zealand","Zimbabwe","M","low","home","Zimbabwe","bat",181,"0","0","0","lost"
"Sri Lanka","Zimbabwe","M","high","away","Sri Lanka","field",197,"0","0","0","won"
"Pakistan","Sri Lanka","M","high","away","Sri Lanka","field",338,"0","0","0","lost"
"South Africa","England","F","high","home","South Africa","bat",196,"0","1","1","won"
"Australia","Pakistan","M","medium","away","Pakistan","bat",257,"0","0","0","lost"
"Australia","Bangladesh","M","low","home","Australia","bat",254,"0","0","0","won"
"India","Sri Lanka","F","medium","away","Sri Lanka","bat",115,"0","0","0","lost"
"Australia","New Zealand","F","medium","home","Australia","bat",267,"0","0","0","won"
"Zimbabwe","England","M","low","home","England","field",249,"0","0","0","lost"
"Australia","New Zealand","F","medium","home","Australia","bat",207,"0","0","0","won"
"West Indies","Zimbabwe","M","low","home","West Indies","bat",280,"0","0","0","won"
"Australia","New Zealand","M","medium","away","New Zealand","bat",207,"0","0","0","lost"
"Pakistan","Australia","M","low","home","Pakistan","field",324,"0","0","0","won"
"Australia","England","M","medium","home","Australia","bat",101,"0","0","0","won"
"Sri Lanka","Zimbabwe","M","high","away","Sri Lanka","bat",285,"1","0","0","won"
"South Africa","Australia","M","low","home","Australia","bat",131,"0","0","0","lost"
"England","Sri Lanka","M","high","away","England","bat",296,"0","0","0","won"
"England","New Zealand","M","medium","away","New Zealand","field",194,"1","0","0","lost"
"Zimbabwe","Sri Lanka","M","low","home","Zimbabwe","field",213,"0","0","0","won"
"South Africa","Sri Lanka","M","low","home","South Africa","field",128,"0","0","0","won"
"Pakistan","South Africa","M","low","home","Pakistan","bat",243,"0","1","1","won"
"Zimbabwe","Australia","M","low","home","Zimbabwe","field",323,"0","0","0","won"
"Australia","New Zealand","F","high","home","Australia","field",205,"0","1","1","won"
"India","New Zealand","F","low","home","New Zealand","field",211,"0","0","0","lost"
"India","Australia","M","high","home","India","field",270,"0","0","0","won"
"West Indies","Australia","M","low","home","West Indies","field",273,"0","0","0","won"
"India","England","M","low","home","England","field",156,"0","0","0","lost"
"New Zealand","Zimbabwe","M","medium","away","Zimbabwe","field",265,"0","0","0","lost"
"South Africa","India","F","low","home","South Africa","field",111,"0","1","1","won"
"South Africa","West Indies","F","high","home","South Africa","bat",169,"0","0","0","won"
"Bangladesh","India","M","low","home","Bangladesh","bat",229,"1","0","0","won"
"Australia","West Indies","M","medium","home","Australia","bat",204,"1","0","0","won"
"Australia","New Zealand","F","medium","home","Australia","bat",180,"0","0","0","won"
"Australia","West Indies","M","medium","home","West Indies","field",253,"1","0","0","lost"
"Zimbabwe","Sri Lanka","M","low","home","Zimbabwe","field",256,"0","0","0","won"
"Australia","New Zealand","F","medium","home","Australia","field",58,"0","0","0","won"
"India","West Indies","F","low","home","India","bat",156,"0","0","0","won"
"India","Pakistan","M","medium","home","Pakistan","bat",303,"0","0","0","lost"
"Australia","Zimbabwe","M","medium","away","Australia","bat",263,"1","0","0","won"
"South Africa","West Indies","M","low","home","West Indies","bat",263,"1","0","0","lost"
"West Indies","Pakistan","M","low","home","West Indies","field",303,"0","0","0","won"
"West Indies","India","M","low","home","India","bat",237,"0","0","0","lost"
"Sri Lanka","Bangladesh","M","medium","home","Sri Lanka","field",131,"0","0","0","won"
"New Zealand","Australia","M","medium","home","New Zealand","field",331,"1","0","0","won"
"Bangladesh","South Africa","F","low","home","Bangladesh","bat",60,"0","0","0","won"
"Pakistan","Zimbabwe","M","low","home","Zimbabwe","bat",195,"0","0","0","lost"
"West Indies","Pakistan","M","low","home","Pakistan","bat",197,"0","0","0","lost"
"Sri Lanka","New Zealand","M","low","home","New Zealand","field",137,"0","0","0","lost"
"England","Pakistan","M","low","home","England","field",213,"0","0","0","won"
"India","Australia","M","low","home","Australia","field",260,"0","0","0","lost"
"Australia","New Zealand","M","medium","away","New Zealand","bat",159,"1","0","0","lost"
"India","South Africa","M","medium","away","South Africa","bat",288,"0","0","0","lost"
"West Indies","England","M","low","home","West Indies","field",172,"0","0","0","won"
"India","England","M","low","home","India","field",230,"0","0","0","won"
"South Africa","England","M","low","home","South Africa","bat",311,"1","0","0","won"
"India","Zimbabwe","M","medium","away","India","bat",255,"1","0","0","won"
"Pakistan","South Africa","M","low","home","South Africa","bat",233,"1","0","0","lost"
"India","Australia","M","low","home","India","bat",227,"0","0","0","won"
"New Zealand","Zimbabwe","M","low","home","New Zealand","bat",248,"0","0","0","won"
"England","New Zealand","M","medium","home","New Zealand","field",101,"1","0","0","lost"
"West Indies","Zimbabwe","M","low","home","West Indies","bat",242,"0","0","0","won"
"Pakistan","Sri Lanka","F","high","away","Pakistan","bat",138,"0","0","0","won"
"New Zealand","West Indies","M","low","home","New Zealand","bat",302,"1","0","0","won"
"Australia","Pakistan","M","medium","home","Pakistan","bat",184,"1","0","0","lost"
"India","Pakistan","M","low","away","Pakistan","field",264,"0","0","0","lost"
"India","West Indies","M","medium","away","India","bat",180,"0","0","0","won"
"Australia","England","M","medium","home","England","field",180,"1","0","0","lost"
"Australia","Sri Lanka","M","high","away","Australia","bat",281,"0","1","1","won"
"India","Sri Lanka","F","high","away","India","bat",230,"0","0","0","won"
"West Indies","Australia","M","low","home","West Indies","field",282,"0","0","0","won"
"Pakistan","India","M","medium","home","Pakistan","field",244,"0","0","0","won"
"Australia","Pakistan","M","low","home","Australia","field",176,"1","0","0","won"
"Australia","Pakistan","F","high","away","Pakistan","bat",27,"0","0","0","lost"
"West Indies","South Africa","M","low","home","West Indies","bat",253,"0","0","0","won"
"Australia","England","M","medium","home","England","bat",272,"1","0","0","lost"
"New Zealand","India","F","low","home","India","bat",106,"0","0","0","lost"
"Pakistan","West Indies","M","low","home","Pakistan","bat",148,"0","0","0","won"
"Australia","England","F","high","away","England","bat",156,"0","0","0","lost"
"New Zealand","Australia","F","medium","home","Australia","bat",138,"0","0","0","lost"
"Australia","Pakistan","M","medium","home","Australia","bat",239,"1","0","0","won"
"New Zealand","England","F","low","home","England","field",230,"0","0","0","lost"
"Australia","Sri Lanka","M","medium","home","Sri Lanka","field",228,"0","0","0","lost"
"Sri Lanka","Pakistan","M","low","home","Pakistan","field",160,"0","0","0","lost"
"India","South Africa","F","high","home","India","field",186,"1","0","0","won"
"New Zealand","England","F","low","home","New Zealand","field",141,"0","0","0","won"
"Bangladesh","West Indies","M","high","away","Bangladesh","bat",161,"1","0","0","won"
"West Indies","New Zealand","F","low","home","New Zealand","field",214,"0","0","0","lost"
"Zimbabwe","Bangladesh","M","low","home","Bangladesh","field",244,"0","0","0","lost"
"Australia","New Zealand","M","medium","home","Australia","field",246,"0","0","0","won"
"Pakistan","South Africa","F","high","away","Pakistan","bat",133,"0","0","0","won"
"Australia","Pakistan","M","medium","home","Pakistan","field",209,"0","0","0","lost"
"Pakistan","India","M","medium","home","India","field",150,"0","0","0","lost"
"South Africa","Bangladesh","F","low","home","South Africa","field",177,"0","0","0","won"
"Bangladesh","South Africa","M","high","away","South Africa","field",251,"0","0","0","lost"
"England","India","M","low","home","India","bat",171,"0","0","0","lost"
"India","South Africa","M","low","home","India","bat",220,"1","0","0","won"
"Australia","Sri Lanka","M","medium","home","Sri Lanka","field",249,"0","0","0","lost"
"West Indies","Sri Lanka","F","low","home","West Indies","bat",153,"0","0","0","won"
"India","New Zealand","M","low","home","India","bat",289,"0","0","0","won"
"England","Australia","M","low","home","Australia","field",248,"0","0","0","lost"
"India","Australia","F","low","home","Australia","bat",213,"0","0","0","lost"
"Australia","West Indies","M","medium","home","Australia","field",255,"0","0","0","won"
"West Indies","Australia","M","low","home","West Indies","field",206,"0","0","0","won"
"India","South Africa","M","low","home","South Africa","bat",301,"0","0","0","lost"
"Australia","Pakistan","M","medium","home","Pakistan","bat",220,"1","0","0","lost"
"England","India","M","medium","away","India","field",211,"0","0","0","lost"
"England","Pakistan","F","high","away","Pakistan","bat",78,"0","0","0","lost"
"New Zealand","England","F","high","home","England","field",240,"0","0","0","lost"
"India","West Indies","F","high","away","West Indies","bat",84,"0","0","0","lost"
"Pakistan","Zimbabwe","M","low","home","Zimbabwe","field",302,"0","0","0","lost"
"Australia","West Indies","M","medium","home","Australia","bat",190,"1","0","0","won"
"England","New Zealand","F","low","home","England","bat",208,"0","0","0","won"
"England","New Zealand","F","high","away","England","field",220,"0","0","0","won"
"England","South Africa","F","low","home","England","field",222,"0","0","0","won"
"Australia","Zimbabwe","M","low","away","Zimbabwe","field",294,"0","0","0","lost"
"New Zealand","Sri Lanka","M","medium","away","Sri Lanka","field",223,"1","0","0","lost"
"Australia","Bangladesh","M","high","away","Bangladesh","bat",129,"0","0","0","lost"
"England","South Africa","F","low","home","South Africa","field",227,"0","0","0","lost"
"England","New Zealand","F","low","home","England","field",220,"1","0","0","won"
"Sri Lanka","West Indies","F","high","away","Sri Lanka","field",79,"0","0","0","won"
"Sri Lanka","West Indies","M","medium","away","Sri Lanka","field",194,"0","0","0","won"
"New Zealand","West Indies","M","low","home","New Zealand","bat",233,"1","0","0","won"
"Sri Lanka","Australia","M","low","home","Australia","bat",198,"0","0","0","lost"
"Pakistan","West Indies","M","low","away","Pakistan","bat",222,"0","0","0","won"
"West Indies","Pakistan","M","low","home","West Indies","field",186,"0","0","0","won"
"India","West Indies","F","low","home","West Indies","field",298,"0","0","0","lost"
"New Zealand","Pakistan","M","low","away","New Zealand","bat",127,"1","0","0","won"
"Australia","South Africa","F","high","home","Australia","bat",258,"0","0","0","won"
"India","Zimbabwe","M","high","away","India","bat",203,"0","0","0","won"
"India","West Indies","M","low","home","West Indies","bat",251,"0","0","0","lost"
"Australia","India","M","medium","home","India","bat",208,"0","0","0","lost"
"India","South Africa","M","low","away","South Africa","bat",223,"0","0","0","lost"
"India","Pakistan","M","medium","away","Pakistan","bat",266,"0","0","0","lost"
"Australia","South Africa","M","low","home","South Africa","field",249,"0","0","0","lost"
"Sri Lanka","Pakistan","M","low","home","Sri Lanka","field",180,"1","0","0","won"
"Pakistan","West Indies","M","medium","away","Pakistan","bat",191,"1","0","0","won"
"India","Sri Lanka","M","low","home","India","field",208,"0","0","0","won"
"Pakistan","Sri Lanka","M","low","away","Pakistan","bat",214,"0","0","0","won"
"New Zealand","Pakistan","M","medium","away","New Zealand","bat",172,"1","0","0","won"
"New Zealand","England","M","low","home","England","bat",130,"1","0","0","lost"
"India","Sri Lanka","M","medium","away","Sri Lanka","field",195,"0","1","1","lost"
"Pakistan","Sri Lanka","M","medium","away","Sri Lanka","field",245,"0","0","0","lost"
"Pakistan","South Africa","M","high","away","South Africa","bat",213,"1","0","0","lost"
"Australia","South Africa","M","medium","home","Australia","bat",241,"1","0","0","won"
"India","Bangladesh","F","low","home","Bangladesh","bat",194,"0","0","0","lost"
"Sri Lanka","West Indies","M","low","home","Sri Lanka","bat",103,"0","0","0","won"
"Australia","South Africa","M","low","home","South Africa","bat",206,"0","0","0","lost"
"Australia","India","M","medium","home","India","field",161,"1","0","0","lost"
"New Zealand","England","M","low","home","England","bat",196,"1","0","0","lost"
"Pakistan","West Indies","M","medium","away","Pakistan","bat",223,"0","0","0","won"
"West Indies","New Zealand","M","low","home","West Indies","field",248,"0","0","0","won"
"England","New Zealand","F","low","home","New Zealand","bat",225,"0","0","0","lost"
"Australia","England","M","medium","home","England","bat",152,"1","0","0","lost"
"Zimbabwe","New Zealand","M","low","home","Zimbabwe","bat",271,"0","0","0","won"
"Australia","New Zealand","F","low","away","Australia","bat",261,"0","0","0","won"
"Pakistan","West Indies","M","medium","away","Pakistan","field",181,"1","0","0","won"
"Australia","Pakistan","M","high","away","Australia","field",275,"0","0","0","won"
"Pakistan","West Indies","M","medium","away","Pakistan","field",244,"0","0","0","won"
"Bangladesh","Sri Lanka","M","low","home","Sri Lanka","field",152,"0","0","0","lost"
"India","South Africa","F","high","home","South Africa","field",180,"1","0","0","lost"
"Pakistan","West Indies","M","low","home","Pakistan","bat",209,"1","0","0","won"
"Pakistan","West Indies","M","low","away","West Indies","bat",161,"0","0","0","lost"
"Pakistan","Zimbabwe","M","low","home","Zimbabwe","field",211,"0","0","0","lost"
"South Africa","West Indies","M","low","home","South Africa","field",295,"0","1","1","won"
"New Zealand","England","M","low","home","New Zealand","field",188,"0","0","0","won"
"Australia","West Indies","M","medium","home","Australia","bat",249,"1","0","0","won"
"Australia","India","M","medium","home","Australia","bat",203,"1","0","0","won"
"Australia","West Indies","M","medium","home","West Indies","bat",192,"1","0","0","lost"
"Sri Lanka","India","M","low","home","Sri Lanka","bat",320,"0","0","0","won"
"India","Sri Lanka","M","low","home","Sri Lanka","field",213,"0","0","0","lost"
"India","Pakistan","M","medium","home","Pakistan","field",294,"0","0","0","lost"
"Sri Lanka","England","M","low","home","England","bat",234,"1","0","0","lost"
"England","Australia","F","low","home","England","field",260,"0","0","0","won"
"India","New Zealand","F","low","home","New Zealand","field",186,"0","0","0","lost"
"West Indies","New Zealand","F","high","home","West Indies","bat",246,"0","0","0","won"
"Pakistan","West Indies","M","medium","away","West Indies","field",187,"0","0","0","lost"
"Australia","India","M","medium","home","Australia","bat",239,"1","0","0","won"
"Australia","England","F","high","home","England","bat",161,"0","0","0","lost"
"Australia","New Zealand","F","medium","home","Australia","bat",201,"0","0","0","won"
"Australia","England","F","high","home","England","bat",127,"0","0","0","lost"
"Pakistan","Sri Lanka","M","medium","away","Sri Lanka","field",170,"0","0","0","lost"
"New Zealand","Pakistan","M","low","home","New Zealand","field",158,"0","0","0","won"
"India","Sri Lanka","M","medium","home","India","bat",227,"0","0","0","won"
"South Africa","Zimbabwe","M","high","away","Zimbabwe","bat",233,"0","0","0","lost"
"England","Australia","M","high","home","England","field",159,"0","0","0","won"
"England","Sri Lanka","M","high","home","England","field",136,"0","0","0","won"
"India","England","F","low","home","England","field",243,"0","0","0","lost"
"India","Pakistan","M","high","away","India","field",246,"0","0","0","won"
"Pakistan","Sri Lanka","M","low","home","Sri Lanka","bat",232,"0","0","0","lost"
"New Zealand","India","M","low","home","New Zealand","bat",270,"1","1","1","won"
"India","Sri Lanka","M","high","home","India","field",251,"1","0","0","won"
"Pakistan","South Africa","M","low","home","South Africa","field",267,"1","0","0","lost"
"Pakistan","England","M","low","home","Pakistan","bat",166,"0","0","0","won"
"England","South Africa","M","medium","home","South Africa","bat",264,"0","0","0","lost"
"Pakistan","Sri Lanka","M","low","home","Pakistan","field",155,"0","0","0","won"
"Australia","South Africa","M","high","away","South Africa","bat",149,"0","0","0","lost"
"England","India","M","low","home","England","field",158,"0","0","0","won"
"Australia","India","M","medium","home","Australia","bat",317,"1","0","0","won"
"Zimbabwe","England","M","low","home","Zimbabwe","bat",206,"0","0","0","won"
"Bangladesh","Zimbabwe","M","low","home","Bangladesh","bat",247,"1","0","0","won"
"Australia","Sri Lanka","M","medium","home","Sri Lanka","field",318,"1","0","0","lost"
"Pakistan","New Zealand","M","low","home","New Zealand","bat",277,"1","0","0","lost"
"Australia","New Zealand","F","medium","home","Australia","bat",180,"0","0","0","won"
"Australia","South Africa","M","high","away","South Africa","bat",271,"0","0","0","lost"
"Australia","Pakistan","M","medium","home","Australia","bat",209,"0","0","0","won"
"Australia","South Africa","F","high","away","South Africa","bat",188,"0","0","0","lost"
"England","Australia","M","low","home","England","field",249,"0","0","0","won"
"Pakistan","Australia","M","low","home","Australia","bat",269,"0","0","0","lost"
"South Africa","Sri Lanka","M","medium","home","Sri Lanka","bat",226,"1","0","0","lost"
"New Zealand","Sri Lanka","M","low","home","Sri Lanka","field",201,"0","0","0","lost"
"West Indies","South Africa","M","low","home","South Africa","field",199,"0","0","0","lost"
"England","West Indies","M","medium","away","West Indies","bat",265,"0","0","0","lost"
