"team","team.1","gender","season","date","series","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire","umpire.1","reserve_umpire","tv_umpire","match_referee","winner","winner_runs"
"Australia","Pakistan","male","2016/17","2017/01/13","Pakistan in Australia ODI Series","1","Brisbane Cricket Ground, Woolloongabba","Brisbane","Australia","bat","MS Wade","MD Martell","C Shamshuddin","SJ Nogajski","CB Gaffaney","JJ Crowe","Australia","92"
"Australia","Pakistan","male","2016/17","2017/01/15","Pakistan in Australia ODI Series","2","Melbourne Cricket Ground","","Australia","bat","Mohammad Hafeez","CB Gaffaney","P Wilson","SJ Nogajski","C Shamshuddin","JJ Crowe","Pakistan","6"
"Australia","Pakistan","male","2016/17","2017/01/19","Pakistan in Australia ODI Series","3","Western Australia Cricket Association Ground","Perth","Australia","field","SPD Smith","SD Fry","C Shamshuddin","P Wilson","CB Gaffaney","JJ Crowe","Australia","7"
"Australia","Pakistan","male","2016/17","2017/01/22","Pakistan in Australia ODI Series","4","Sydney Cricket Ground","","Australia","bat","DA Warner","CB Gaffaney","MD Martell","P Wilson","C Shamshuddin","JJ Crowe","Australia","86"
"Australia","Pakistan","male","2016/17","2017/01/26","Pakistan in Australia ODI Series","5","Adelaide Oval","","Australia","bat","DA Warner","SD Fry","C Shamshuddin","SJ Nogajski","CB Gaffaney","JJ Crowe","Australia","57"
"Australia","New Zealand","male","2016/17","2016/12/04","Chappell-Hadlee Trophy","1","Sydney Cricket Ground","","Australia","bat","SPD Smith","HDPK Dharmasena","MD Martell","GA Abood","P Wilson","RB Richardson","Australia","68"
"Australia","New Zealand","male","2016/17","2016/12/06","Chappell-Hadlee Trophy","2","Manuka Oval","Canberra","New Zealand","field","DA Warner","HDPK Dharmasena","P Wilson","MD Martell","NJ Llong","RB Richardson","Australia","116"
"Australia","New Zealand","male","2016/17","2016/12/09","Chappell-Hadlee Trophy","3","Melbourne Cricket Ground","","Australia","bat","DA Warner","NJ Llong","MD Martell","P Wilson","HDPK Dharmasena","RB Richardson","Australia","117"
"Scotland","Afghanistan","male","2016","2016/07/04","Afghanistan in Scotland ODI Series","1","Grange Cricket Club Ground, Raeburn Place","Edinburgh","Scotland","field","M Hawthorne","IN Ramage","AJT Dowdalls","DT Jukes","no result","0.1","Noor Ali Zadran","0"
"Scotland","Afghanistan","male","2016","2016/07/06","Afghanistan in Scotland ODI Series","2","Grange Cricket Club Ground, Raeburn Place","Edinburgh","Afghanistan","bat","M Hawthorne","IN Ramage","AJT Dowdalls","DT Jukes","Afghanistan","78","D/L","0.1"
"Scotland","Hong Kong","male","2016","2016/09/08","Hong Kong in Scotland ODI Series","1","Grange Cricket Club Ground, Raeburn Place","Edinburgh","Hong Kong","field","GO Brathwaite","IN Ramage","DA Haggo","DT Jukes","no result","0.1","CD Wallace","0"
"Scotland","Hong Kong","male","2016","2016/09/10","Hong Kong in Scotland ODI Series","2","Grange Cricket Club Ground, Raeburn Place","Edinburgh","Scotland","bat","GO Brathwaite","IN Ramage","DA Haggo","DT Jukes","Scotland","53","0.1","MH Cross"
"Zimbabwe","India","male","2016","2016/06/11","India in Zimbabwe ODI Series","1","Harare Sports Club","","India","field","KL Rahul","IJ Gould","RB Tiffin","I Chabi","TJ Matibiri","RB Richardson","India","9"
"Zimbabwe","India","male","2016","2016/06/13","India in Zimbabwe ODI Series","2","Harare Sports Club","","India","field","YS Chahal","IJ Gould","L Rusere","O Chirombe","RB Tiffin","RB Richardson","India","8"
"Zimbabwe","India","male","2016","2016/06/15","India in Zimbabwe ODI Series","3","Harare Sports Club","","Zimbabwe","bat","KL Rahul","IJ Gould","TJ Matibiri","O Chirombe","L Rusere","RB Richardson","India","10"
"New Zealand","Bangladesh","male","2016/17","2016/12/26","Bangladesh in New Zealand ODI Series","1","Hagley Oval","Christchurch","New Zealand","bat","TWM Latham","WR Knights","C Shamshuddin","CM Brown","PR Reiffel","BC Broad","New Zealand","77"
"New Zealand","Bangladesh","male","2016/17","2016/12/29","Bangladesh in New Zealand ODI Series","2","Saxton Oval","Nelson","Bangladesh","field","NT Broom","CM Brown","PR Reiffel","WR Knights","C Shamshuddin","BC Broad","New Zealand","67"
"New Zealand","Bangladesh","male","2016/17","2016/12/31","Bangladesh in New Zealand ODI Series","3","Saxton Oval","Nelson","Bangladesh","bat","KS Williamson","CM Brown","C Shamshuddin","WR Knights","PR Reiffel","BC Broad","New Zealand","8"
"New Zealand","Australia","male","2016/17","2017/01/30","Chappell-Hadlee Trophy","1","Eden Park","Auckland","Australia","field","MP Stoinis","WR Knights","RSA Palliyaguruge","HDPK Dharmasena","RS Madugalle","New Zealand","6","0.1"
"New Zealand","Australia","male","2016/17","2017/02/05","Chappell-Hadlee Trophy","3","Seddon Park","Hamilton","New Zealand","bat","TA Boult","CM Brown","RSA Palliyaguruge","HDPK Dharmasena","RS Madugalle","New Zealand","24","0.1"
"Hong Kong","Papua New Guinea","male","2016/17","2016/11/04","Papua New Guinea in Hong Kong ODI Series","1","Mission Road Ground, Mong Kok","Hong Kong","Hong Kong","bat","Babar Hayat","Sharfuddoula","Tabarak Dar","Z Nizami","GF Labrooy","Hong Kong","106","0.1"
"Hong Kong","Papua New Guinea","male","2016/17","2016/11/06","Papua New Guinea in Hong Kong ODI Series","2","Mission Road Ground, Mong Kok","Hong Kong","Papua New Guinea","bat","CA Soper","Sharfuddoula","Tabarak Dar","IA Thomson","GF Labrooy","Papua New Guinea","14","0.1"
"Hong Kong","Papua New Guinea","male","2016/17","2016/11/08","Papua New Guinea in Hong Kong ODI Series","3","Mission Road Ground, Mong Kok","Hong Kong","Papua New Guinea","bat","Anshuman Rath","Sharfuddoula","IA Thomson","Z Nizami","GF Labrooy","Hong Kong","7","D/L"
"Bangladesh","England","male","2016/17","2016/10/07","England in Bangladesh ODI Series","1","Shere Bangla National Stadium","Mirpur","England","bat","JT Ball","M Erasmus","Sharfuddoula","Anisur Rahman","Aleem Dar","J Srinath","England","21"
"Bangladesh","England","male","2016/17","2016/10/09","England in Bangladesh ODI Series","2","Shere Bangla National Stadium","Mirpur","England","field","Mashrafe Mortaza","Aleem Dar","Sharfuddoula","Anisur Rahman","M Erasmus","J Srinath","Bangladesh","34"
"Bangladesh","England","male","2016/17","2016/10/12","England in Bangladesh ODI Series","3","Zahur Ahmed Chowdhury Stadium","Chittagong","England","field","AU Rashid","Anisur Rahman","M Erasmus","Masudur Rahman","Aleem Dar","J Srinath","England","4"
"India","New Zealand","male","2016/17","2016/10/16","New Zealand in India ODI Series","1","Himachal Pradesh Cricket Association Stadium","Dharmasala","India","field","HH Pandya","BNJ Oxenford","C Shamshuddin","CK Nandan","AK Chaudhary","RB Richardson","India","6"
"India","New Zealand","male","2016/17","2016/10/20","New Zealand in India ODI Series","2","Feroz Shah Kotla","Delhi","India","field","KS Williamson","AK Chaudhary","BNJ Oxenford","CK Nandan","C Shamshuddin","RB Richardson","New Zealand","6"
"India","New Zealand","male","2016/17","2016/10/23","New Zealand in India ODI Series","3","Punjab Cricket Association Stadium, Mohali","Chandigarh","India","field","V Kohli","BNJ Oxenford","C Shamshuddin","Nitin Menon","AK Chaudhary","RB Richardson","India","7"
"India","New Zealand","male","2016/17","2016/10/26","New Zealand in India ODI Series","4","JSCA International Stadium Complex","Ranchi","New Zealand","bat","MJ Guptill","AK Chaudhary","BNJ Oxenford","Nitin Menon","CK Nandan","RB Richardson","New Zealand","19"
"India","New Zealand","male","2016/17","2016/10/29","New Zealand in India ODI Series","5","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Visakhapatnam","India","bat","A Mishra","CK Nandan","BNJ Oxenford","Nitin Menon","C Shamshuddin","RB Richardson","India","190"
"India","England","male","2016/17","2017/01/15","England in India ODI Series","1","Maharashtra Cricket Association Stadium","Pune","India","field","KM Jadhav","HDPK Dharmasena","CK Nandan","NN Menon","RSA Palliyaguruge","AJ Pycroft","India","3"
"India","England","male","2016/17","2017/01/19","England in India ODI Series","2","Barabati Stadium","Cuttack","England","field","Yuvraj Singh","AK Chaudhary","RSA Palliyaguruge","Nitin Menon","HDPK Dharmasena","AJ Pycroft","India","15"
"India","England","male","2016/17","2017/01/22","England in India ODI Series","3","Eden Gardens","Kolkata","India","field","BA Stokes","AK Chaudhary","HDPK Dharmasena","CK Nandan","RSA Palliyaguruge","AJ Pycroft","England","5"
"Pakistan","West Indies","male","2016/17","2016/09/30","Pakistan v West Indies ODI Series","1","Sharjah Cricket Stadium","","true","West Indies","field","Babar Azam","Ahsan Raza","RSA Palliyaguruge","Shozab Raza","S Ravi","AJ Pycroft","Pakistan"
"Pakistan","West Indies","male","2016/17","2016/10/02","Pakistan v West Indies ODI Series","2","Sharjah Cricket Stadium","","true","Pakistan","bat","Babar Azam","S Ravi","Shozab Raza","Ahsan Raza","RSA Palliyaguruge","AJ Pycroft","Pakistan"
"Pakistan","West Indies","male","2016/17","2016/10/05","Pakistan v West Indies ODI Series","3","Sheikh Zayed Stadium","Abu Dhabi","true","Pakistan","bat","Babar Azam","Ahsan Raza","RSA Palliyaguruge","Shozab Raza","S Ravi","AJ Pycroft","Pakistan"
"Bangladesh","Afghanistan","male","2016/17","2016/09/25","Afghanistan in Bangladesh ODI Series","1","Shere Bangla National Stadium","Mirpur","Bangladesh","bat","Shakib Al Hasan","C Shamshuddin","Sharfuddoula","Tanvir Ahmed","Anisur Rahman","RB Richardson","Bangladesh","7"
"Bangladesh","Afghanistan","male","2016/17","2016/09/28","Afghanistan in Bangladesh ODI Series","2","Shere Bangla National Stadium","Mirpur","Afghanistan","field","Mohammad Nabi","Anisur Rahman","C Shamshuddin","Gazi Sohel","Masudur Rahman","RB Richardson","Afghanistan","2"
"Bangladesh","Afghanistan","male","2016/17","2016/10/01","Afghanistan in Bangladesh ODI Series","3","Shere Bangla National Stadium","Mirpur","Bangladesh","bat","Tamim Iqbal","C Shamshuddin","Sharfuddoula","Mahfuzur Rahman","Masudur Rahman","RB Richardson","Bangladesh","141"
"Zimbabwe","Sri Lanka","male","2016/17","2016/11/14","Zimbabwe Tri-Nation Series","1","Harare Sports Club","","Sri Lanka","field","DM de Silva","C Shamshuddin","RB Tiffin","L Rusere","M Erasmus","J Srinath","Sri Lanka","8"
"Sri Lanka","West Indies","male","2016/17","2016/11/16","Zimbabwe Tri-Nation Series","2","Harare Sports Club","","true","Sri Lanka","field","JO Holder","M Erasmus","RB Tiffin","L Rusere","C Shamshuddin","J Srinath","West Indies"
"Zimbabwe","West Indies","male","2016/17","2016/11/19","Zimbabwe Tri-Nation Series","3","Queens Sports Club","Bulawayo","Zimbabwe","bat","SD Hope","C Shamshuddin","RB Tiffin","L Rusere","MA Gough","J Srinath","tie","0.1"
"Zimbabwe","Sri Lanka","male","2016/17","2016/11/21","Zimbabwe Tri-Nation Series","4","Queens Sports Club","Bulawayo","Zimbabwe","bat","MA Gough","L Rusere","TJ Matibiri","RK Illingworth","J Srinath","no result","0.1","CJ Chibhabha"
"Sri Lanka","West Indies","male","2016/17","2016/11/23","Zimbabwe Tri-Nation Series","5","Queens Sports Club","Bulawayo","true","West Indies","field","BKG Mendis","RK Illingworth","TJ Matibiri","L Rusere","MA Gough","J Srinath","Sri Lanka"
"Zimbabwe","West Indies","male","2016/17","2016/11/25","Zimbabwe Tri-Nation Series","6","Queens Sports Club","Bulawayo","Zimbabwe","bat","TS Chisoro","MA Gough","TJ Matibiri","L Rusere","RK Illingworth","J Srinath","Zimbabwe","5"
"Zimbabwe","Sri Lanka","male","2016/17","2016/11/27","Zimbabwe Tri-Nation Series","Queens Sports Club","Bulawayo","Zimbabwe","bat","BKG Mendis","RK Illingworth","TJ Matibiri","L Rusere","MA Gough","J Srinath","Sri Lanka","6","0.1"
"Hong Kong","Scotland","male","2016/17","2017/01/22","United Arab Emirates Tri-Nation Series","1","Sheikh Zayed Stadium","Abu Dhabi","true","Hong Kong","field","Babar Hayat","Akbar Ali","Iftikhar Ali","AJT Dowdalls","DT Jukes","Hong Kong","7"
"United Arab Emirates","Scotland","male","2016/17","2017/01/24","United Arab Emirates Tri-Nation Series","2","Dubai International Cricket Stadium","","Scotland","bat","Adnan Mufti","Akbar Ali","Tabarak Dar","AJT Dowdalls","DT Jukes","United Arab Emirates","4","0.1"
"United Arab Emirates","Hong Kong","male","2016/17","2017/01/26","United Arab Emirates Tri-Nation Series","3","Dubai International Cricket Stadium","","United Arab Emirates","field","Imran Haider","AJT Dowdalls","Iftikhar Ali","Tabarak Dar","DT Jukes","United Arab Emirates","6","0.1"
"Zimbabwe","Afghanistan","male","2016/17","2017/02/16","Afghanistan in Zimbabwe ODI Series","1","Harare Sports Club","","Afghanistan","bat","Asghar Stanikzai","S George","RB Tiffin","O Chirombe","L Rusere","DT Jukes","Afghanistan","12"
"Ireland","England","male","2006","2006/06/13","Civil Service Cricket Club, Stormont","Belfast","England","bat","ME Trescothick","R Dill","DB Hair","CH Lloyd","England","38","0.1","EC Joyce","0",""
"England","Pakistan","male","2006","2006/08/30","NatWest Series","1","Sophia Gardens","Cardiff","Pakistan","field","BR Doctrove","IJ Gould","PJ Hartley","MR Benson","MJ Procter","no result","0.1","AJ Strauss"
"England","Pakistan","male","2006","2006/09/02","NatWest Series","2","Lord's","London","Pakistan","field","Shoaib Akhtar","MR Benson","BR Doctrove","IJ Gould","NJ Llong","MJ Procter","Pakistan","7"
"England","Pakistan","male","2006","2006/09/05","NatWest Series","3","The Rose Bowl","Southampton","Pakistan","field","Younis Khan","BR Doctrove","NJ Llong","IJ Gould","PJ Hartley","MJ Procter","Pakistan","2"
"England","Pakistan","male","2006","2006/09/08","NatWest Series","4","Trent Bridge","Nottingham","Pakistan","bat","IR Bell","MR Benson","DJ Harper","NJ Llong","IJ Gould","MJ Procter","England","8"
"England","Pakistan","male","2006","2006/09/10","NatWest Series","5","Edgbaston","Birmingham","England","field","SI Mahmood","IJ Gould","DJ Harper","PJ Hartley","NJ Llong","MJ Procter","England","3"
"England","Sri Lanka","male","2006","2006/06/17","NatWest Series","1","Lord's","London","England","field","WU Tharanga","DB Hair","NJ Llong","IJ Gould","CH Lloyd","Sri Lanka","20","0.1"
"England","Sri Lanka","male","2006","2006/06/20","NatWest Series","2","Kennington Oval","London","Sri Lanka","bat","ST Jayasuriya","IJ Gould","DB Hair","PJ Hartley","CH Lloyd","Sri Lanka","46","0.1"
"England","Sri Lanka","male","2006","2006/06/24","NatWest Series","3","Riverside Ground","Chester-le-Street","England","bat","DPMD Jayawardene","MR Benson","BR Doctrove","NJ Llong","CH Lloyd","Sri Lanka","8","0.1"
"England","Sri Lanka","male","2006","2006/06/28","NatWest Series","4","Old Trafford","Manchester","Sri Lanka","bat","DPMD Jayawardene","BR Doctrove","NJ Llong","MR Benson","CH Lloyd","Sri Lanka","33","0.1"
"England","Sri Lanka","male","2006","2006/07/01","NatWest Series","5","Headingley","Leeds","England","bat","ST Jayasuriya","MR Benson","BR Doctrove","IJ Gould","CH Lloyd","Sri Lanka","8","0.1"
"Australia","South Africa","male","2005/06","2006/01/15","VB Series","2","Brisbane Cricket Ground, Woolloongabba","Brisbane","Australia","bat","SM Pollock","Aleem Dar","SJA Taufel","DJ Harper","JJ Crowe","South Africa","5","0.1"
"Australia","South Africa","male","2005/06","2006/01/20","VB Series","4","Docklands Stadium","Melbourne","Australia","bat","B Lee","MR Benson","DJ Harper","PD Parker","JJ Crowe","Australia","59","0.1"
"Australia","South Africa","male","2005/06","2006/02/03","VB Series","10","Docklands Stadium","Melbourne","Australia","bat","MEK Hussey","Aleem Dar","PD Parker","RL Parry","JJ Crowe","Australia","80","0.1"
"Australia","South Africa","male","2005/06","2006/02/05","VB Series","11","Sydney Cricket Ground","","Australia","bat","AC Gilchrist","Aleem Dar","PD Parker","RL Parry","JJ Crowe","Australia","57","0.1"
"Australia","Sri Lanka","male","2005/06","2006/01/22","VB Series","5","Sydney Cricket Ground","","Sri Lanka","bat","ST Jayasuriya","MR Benson","SJ Davis","RL Parry","JJ Crowe","Sri Lanka","51","0.1"
"Australia","Sri Lanka","male","2005/06","2006/01/26","VB Series","7","Adelaide Oval","","Sri Lanka","bat","A Symonds","Aleem Dar","SJ Davis","RL Parry","JJ Crowe","Australia","5","0.1"
"Australia","Sri Lanka","male","2005/06","2006/01/29","VB Series","8","Western Australia Cricket Association Ground","Perth","Sri Lanka","bat","AC Gilchrist","MR Benson","PD Parker","RL Parry","JJ Crowe","Australia","6","0.1"
"South Africa","Sri Lanka","male","2005/06","2006/01/17","VB Series","3","Brisbane Cricket Ground, Woolloongabba","Brisbane","true","South Africa","field","KC Sangakkara","Aleem Dar","DJ Harper","PD Parker","JJ Crowe","Sri Lanka","94"
"South Africa","Sri Lanka","male","2005/06","2006/01/24","VB Series","6","Adelaide Oval","","true","South Africa","bat","HH Dippenaar","Aleem Dar","DJ Harper","SJ Davis","JJ Crowe","South Africa","9"
"South Africa","Sri Lanka","male","2005/06","2006/01/31","VB Series","9","Western Australia Cricket Association Ground","Perth","true","Sri Lanka","bat","GC Smith","MR Benson","PD Parker","RL Parry","JJ Crowe","South Africa","5"
"South Africa","Sri Lanka","male","2005/06","2006/02/07","VB Series","12","Bellerive Oval","Hobart","true","Sri Lanka","bat","HMCM Bandara","MR Benson","DJ Harper","RL Parry","JJ Crowe","Sri Lanka","76"
"New Zealand","Sri Lanka","male","2005/06","2006/01/03","Sri Lanka in New Zealand ODI Series","2","Jade Stadium","Christchurch","New Zealand","field","WU Tharanga","GAV Baxter","DB Hair","AL Hill","AG Hurst","New Zealand","5","0.1"
"New Zealand","Sri Lanka","male","2005/06","2006/01/06","Sri Lanka in New Zealand ODI Series","3","Westpac Stadium","Wellington","New Zealand","bat","JS Patel","DB Hair","AL Hill","EA Watkin","AG Hurst","New Zealand","21","0.1"
"Pakistan","India","male","2005/06","2006/02/06","India in Pakistan ODI Series","1","Arbab Niaz Stadium","Peshawar","Pakistan","field","Salman Butt","Asad Rauf","SJA Taufel","Zameer Haider","BC Broad","Pakistan","7","D/L"
"Australia","Sri Lanka","male","2005/06","2006/02/10","VB Series","1","Adelaide Oval","","Sri Lanka","bat","KC Sangakkara","Aleem Dar","DJ Harper","RL Parry","JJ Crowe","Sri Lanka","22","0.1"
"Pakistan","India","male","2005/06","2006/02/11","India in Pakistan ODI Series","2","Rawalpindi Cricket Stadium","","Pakistan","bat","IK Pathan","Asad Rauf","SJA Taufel","Zameer Haider","BC Broad","India","7","0.1"
"Australia","Sri Lanka","male","2005/06","2006/02/12","VB Series","2","Sydney Cricket Ground","","Australia","bat","A Symonds","MR Benson","PD Parker","DJ Harper","JJ Crowe","Australia","167","0.1"
"Pakistan","India","male","2005/06","2006/02/13","India in Pakistan ODI Series","3","Gaddafi Stadium","Lahore","India","field","MS Dhoni","Asad Rauf","SJA Taufel","Zameer Haider","BC Broad","India","5","0.1"
"Australia","Sri Lanka","male","2005/06","2006/02/14","VB Series","3","Brisbane Cricket Ground, Woolloongabba","Brisbane","Sri Lanka","bat","AC Gilchrist","Aleem Dar","DJ Harper","PD Parker","JJ Crowe","Australia","9","0.1"
"Pakistan","India","male","2005/06","2006/02/16","India in Pakistan ODI Series","4","Multan Cricket Stadium","","India","field","RP Singh","Asad Rauf","SA Bucknor","Zameer Haider","BC Broad","India","5","0.1"
"New Zealand","West Indies","male","2005/06","2006/02/18","West Indies in New Zealand ODI Series","1","Westpac Stadium","Wellington","New Zealand","bat","NJ Astle","AL Hill","RE Koertzen","EA Watkin","MJ Procter","New Zealand","81","0.1"
"Pakistan","India","male","2005/06","2006/02/19","India in Pakistan ODI Series","5","National Stadium","Karachi","India","field","Yuvraj Singh","Aleem Dar","SA Bucknor","Asad Rauf","BC Broad","India","8","0.1"
"Bangladesh","Sri Lanka","male","2005/06","2006/02/20","Sri Lanka in Bangladesh ODI Series","1","Shaheed Chandu Stadium","Bogra","Bangladesh","bat","PDRL Perera","K Hariharan","Mahbubur Rahman","Nadir Shah","AG Hurst","Sri Lanka","5","0.1"
"Bangladesh","Sri Lanka","male","2005/06","2006/02/22","Sri Lanka in Bangladesh ODI Series","2","Shaheed Chandu Stadium","Bogra","Bangladesh","field","Aftab Ahmed","K Hariharan","Mahbubur Rahman","Nadir Shah","AG Hurst","Bangladesh","4","0.1"
"Bangladesh","Sri Lanka","male","2005/06","2006/02/25","Sri Lanka in Bangladesh ODI Series","3","Chittagong Divisional Stadium","","Bangladesh","field","KC Sangakkara","AFM Akhtaruddin","K Hariharan","Nadir Shah","CH Lloyd","Sri Lanka","78","0.1"
"Bangladesh","Australia","male","2005/06","2006/04/23","Australia in Bangladesh ODI Series","1","Chittagong Divisional Stadium","","Bangladesh","bat","AC Gilchrist","IL Howell","Mahbubur Rahman","Nadir Shah","JJ Crowe","Australia","4","0.1"
"Bangladesh","Australia","male","2005/06","2006/04/26","Australia in Bangladesh ODI Series","2","Narayanganj Osmani Stadium","Fatullah","Australia","bat","A Symonds","AFM Akhtaruddin","IL Howell","Nadir Shah","JJ Crowe","Australia","67","0.1"
"Bangladesh","Australia","male","2005/06","2006/04/28","Australia in Bangladesh ODI Series","3","Narayanganj Osmani Stadium","Fatullah","Bangladesh","bat","MJ Cosgrove","IL Howell","Nadir Shah","AFM Akhtaruddin","JJ Crowe","Australia","9","0.1"
"New Zealand","West Indies","male","2005/06","2006/02/22","West Indies in New Zealand ODI Series","2","Queenstown Events Centre","","New Zealand","field","DL Vettori","BF Bowden","RE Koertzen","AL Hill","MJ Procter","New Zealand","3","0.1"
"New Zealand","West Indies","male","2005/06","2006/02/25","West Indies in New Zealand ODI Series","3","Jade Stadium","Christchurch","New Zealand","bat","NJ Astle","BF Bowden","RE Koertzen","GAV Baxter","MJ Procter","New Zealand","21","0.1"
"New Zealand","West Indies","male","2005/06","2006/03/01","West Indies in New Zealand ODI Series","4","McLean Park","Napier","West Indies","field","L Vincent","BF Bowden","RE Koertzen","EA Watkin","MJ Procter","New Zealand","91","0.1"
"New Zealand","West Indies","male","2005/06","2006/03/04","West Indies in New Zealand ODI Series","5","Eden Park","Auckland","New Zealand","bat","DR Smith","DJ Harper","AL Hill","BF Bowden","MJ Procter","West Indies","3","0.1"
"India","England","male","2005/06","2006/03/28","England in India ODI Series","1","Feroz Shah Kotla","Delhi","England","field","Harbhajan Singh","Asad Rauf","AV Jayaprakash","K Hariharan","RS Mahanama","India","39","0.1"
"India","England","male","2005/06","2006/03/31","England in India ODI Series","2","Nahar Singh Stadium","Faridabad","England","bat","SK Raina","Asad Rauf","AV Jayaprakash","I Shivram","RS Mahanama","India","4","0.1"
"India","England","male","2005/06","2006/04/03","England in India ODI Series","3","Nehru Stadium, Fatorda","Margao","India","bat","Yuvraj Singh","Asad Rauf","K Hariharan","I Shivram","RS Mahanama","India","49","0.1"
"India","England","male","2005/06","2006/04/12","England in India ODI Series","6","Keenan Stadium","Jamshedpur","India","bat","AJ Strauss","K Hariharan","RE Koertzen","AV Jayaprakash","RS Mahanama","England","5","0.1"
"India","England","male","2005/06","2006/04/15","England in India ODI Series","7","Maharani Usharaje Trust Cricket Ground","Indore","India","field","S Sreesanth","AV Jayaprakash","RE Koertzen","I Shivram","RS Mahanama","India","7","0.1"
"South Africa","Australia","male","2005/06","2006/02/26","Australia in South Africa ODI Series","1","SuperSport Park","Centurion","Australia","bat","GC Smith","BG Jerling","JW Lloyds","KH Hurter","BC Broad","South Africa","6","D/L"
"South Africa","Australia","male","2005/06","2006/03/03","Australia in South Africa ODI Series","2","Newlands","Cape Town","South Africa","bat","M Ntini","KH Hurter","JW Lloyds","BG Jerling","BC Broad","South Africa","196","0.1"
"South Africa","Australia","male","2005/06","2006/03/05","Australia in South Africa ODI Series","3","St George's Park","Port Elizabeth","South Africa","field","B Lee","BG Jerling","JW Lloyds","KH Hurter","BC Broad","Australia","24","0.1"
"South Africa","Australia","male","2005/06","2006/03/10","Australia in South Africa ODI Series","4","Kingsmead","Durban","South Africa","bat","HH Dippenaar","KH Hurter","JW Lloyds","BG Jerling","BC Broad","Australia","1","0.1"
"South Africa","Australia","male","2005/06","2006/03/12","Australia in South Africa ODI Series","5","New Wanderers Stadium","Johannesburg","Australia","bat","HH Gibbs","RT Ponting","Aleem Dar","BG Jerling","KH Hurter","BC Broad","South Africa","1"
"Sri Lanka","Pakistan","male","2005/06","2006/03/17","Pakistan in Sri Lanka ODI Series","1","R Premadasa Stadium","Colombo","Sri Lanka","field","SJ Davis","EAR de Silva","TH Wijewardene","AG Hurst","no result","0.1","Kamran Akmal","0"
"Sri Lanka","Pakistan","male","2005/06","2006/03/19","Pakistan in Sri Lanka ODI Series","2","R Premadasa Stadium","Colombo","Pakistan","field","Abdul Razzaq","SJ Davis","TH Wijewardene","PT Manuel","AG Hurst","Pakistan","4","0.1"
"Sri Lanka","Pakistan","male","2005/06","2006/03/22","Pakistan in Sri Lanka ODI Series","3","Sinhalese Sports Club Ground","Colombo","Pakistan","field","Shahid Afridi","SJ Davis","EAR de Silva","PT Manuel","AG Hurst","Pakistan","4","0.1"
"West Indies","Zimbabwe","male","2006","2006/04/29","Zimbabwe in West Indies ODI Series","1","Antigua Recreation Ground, St John's","Antigua","West Indies","field","JE Taylor","BF Bowden","BR Doctrove","SA Bucknor","BC Broad","West Indies","5","0.1"
"West Indies","Zimbabwe","male","2006","2006/04/30","Zimbabwe in West Indies ODI Series","2","Antigua Recreation Ground, St John's","Antigua","West Indies","bat","JE Taylor","BF Bowden","SA Bucknor","BR Doctrove","BC Broad","West Indies","98","0.1"
"West Indies","Zimbabwe","male","2006","2006/05/10","Zimbabwe in West Indies ODI Series","5","Beausejour Stadium, Gros Islet","St Lucia","Zimbabwe","bat","CH Gayle","BF Bowden","BR Doctrove","SA Bucknor","BC Broad","West Indies","10","0.1"
"West Indies","Zimbabwe","male","2006","2006/05/13","Zimbabwe in West Indies ODI Series","6","Queen's Park Oval, Port of Spain","Trinidad","West Indies","bat","BF Bowden","SA Bucknor","BR Doctrove","BC Broad","no result","0.1","RS Morton","0"
"West Indies","Zimbabwe","male","2006","2006/05/14","Zimbabwe in West Indies ODI Series","7","Queen's Park Oval, Port of Spain","Trinidad","West Indies","bat","RR Sarwan","BF Bowden","BR Doctrove","SA Bucknor","BC Broad","West Indies","104","0.1"
"West Indies","India","male","2006","2006/05/20","India in West Indies ODI Series","2","Sabina Park, Kingston","Jamaica","India","field","RR Sarwan","Asad Rauf","BR Doctrove","NA Malcolm","BC Broad","West Indies","1","0.1"
"West Indies","India","male","2006","2006/05/23","India in West Indies ODI Series","3","Warner Park, Basseterre","St Kitts","India","bat","RR Sarwan","Asad Rauf","SA Bucknor","BR Doctrove","BC Broad","West Indies","4","0.1"
"West Indies","India","male","2006","2006/05/26","India in West Indies ODI Series","4","Queen's Park Oval, Port of Spain","Trinidad","West Indies","field","DJ Bravo","BR Doctrove","SJA Taufel","SA Bucknor","BC Broad","West Indies","6","0.1"
"West Indies","India","male","2006","2006/05/28","India in West Indies ODI Series","5","Queen's Park Oval, Port of Spain","Trinidad","India","field","DJ Bravo","SA Bucknor","SJA Taufel","BR Doctrove","BC Broad","West Indies","19","0.1"
"India","Pakistan","male","2005/06","2006/04/18","DLF Cup","1","Sheikh Zayed Stadium","Abu Dhabi","true","India","bat","Younis Khan","BG Jerling","RE Koertzen","TH Wijewardene","RS Mahanama","Pakistan","6"
"India","Pakistan","male","2005/06","2006/04/19","DLF Cup","2","Sheikh Zayed Stadium","Abu Dhabi","true","India","bat","R Dravid","BG Jerling","RE Koertzen","TH Wijewardene","RS Mahanama","India","51"
"West Indies","Pakistan","male","2006/07","2007/03/13","ICC World Cup","1","Sabina Park, Kingston","Jamaica","Pakistan","field","DR Smith","BF Bowden","SJA Taufel","IJ Gould","BG Jerling","BC Broad","West Indies","54"
